,Condition,Uptake rate,Oxygen uptake rate,Ethanol,Growth rate,Ethyl acetate,Acetate,Carbon Source
0,Glucose_20.0,2.26,20.0,0.0,0.22029059370106804,0.0,0.17394145278635526,Glucose
1,Glucose_18.96,2.26,18.960526315789473,0.0,0.22029059370106804,0.0,0.17394145278635526,Glucose
2,Glucose_17.92,2.26,17.92105263157895,0.0,0.22029059370106804,0.0,0.17394145278635526,Glucose
3,Glucose_16.88,2.26,16.88157894736842,0.0,0.22029059370106804,0.0,0.17394145278635526,Glucose
4,Glucose_15.84,2.26,15.842105263157894,0.0,0.22029059370106804,0.0,0.17394145278635526,Glucose
5,Glucose_14.8,2.26,14.802631578947368,0.0,0.22029059370106804,0.0,0.17394145278635526,Glucose
6,Glucose_13.76,2.26,13.763157894736842,0.0,0.22029059370106804,0.0,0.17394145278635526,Glucose
7,Glucose_12.72,2.26,12.723684210526315,0.0,0.22029059370106804,0.0,0.17394145278635526,Glucose
8,Glucose_11.68,2.26,11.68421052631579,0.0,0.22029059370106804,0.0,0.17394145278635526,Glucose
9,Glucose_10.64,2.26,10.644736842105264,0.0,0.22029059370106804,0.0,0.17394145278635526,Glucose
10,Glucose_9.61,2.26,9.605263157894736,0.0,0.22029059370106804,0.0,0.17394145278635526,Glucose
11,Glucose_8.57,2.26,8.56578947368421,0.0,0.22029059370106804,0.0,0.17394145278635526,Glucose
12,Glucose_7.53,2.26,7.526315789473685,0.0,0.22029059370106804,0.0,0.17394145278635526,Glucose
13,Glucose_6.49,2.26,6.4868421052631575,0.0,0.22029059370106804,0.0,0.17394145278635526,Glucose
14,Glucose_5.45,2.26,5.447368421052632,0.040936863455674544,0.21735657302339034,0.040936863455674544,0.21256161351493674,Glucose
15,Glucose_4.41,2.26,4.407894736842104,0.47542527818126984,0.1862159851667606,0.47542527818126984,0.6224614200689361,Glucose
16,Glucose_3.37,2.26,3.3684210526315788,0.9099136929068642,0.15507539731013092,0.9099136929068642,1.0323612266229363,Glucose
17,Glucose_2.33,2.26,2.3289473684210513,1.728074981255686,0.12393480945350119,0.7688927971976189,0.8667517227420971,Glucose
18,Glucose_1.29,2.26,1.2894736842105274,2.581020018110617,0.09279422159687158,0.5756962787292091,0.6489665961020932,Glucose
19,Glucose_0.25,2.26,0.25,3.6999103640985718,0.060751097515205625,0.0,0.04796906659800429,Glucose
20,Galactose_20.0,2.36,20.0,0.0,0.45227803308537834,0.0,0.3571187349242181,Galactose
21,Galactose_18.96,2.36,18.960526315789473,0.0,0.45227803308537834,0.0,0.3571187349242181,Galactose
22,Galactose_17.92,2.36,17.92105263157895,0.0,0.45227803308537834,0.0,0.3571187349242181,Galactose
23,Galactose_16.88,2.36,16.88157894736842,0.0,0.45227803308537834,0.0,0.3571187349242181,Galactose
24,Galactose_15.84,2.36,15.842105263157894,0.0,0.45227803308537834,0.0,0.3571187349242181,Galactose
25,Galactose_14.8,2.36,14.802631578947368,0.0,0.45227803308537834,0.0,0.3571187349242181,Galactose
26,Galactose_13.76,2.36,13.763157894736842,0.0,0.45227803308537834,0.0,0.3571187349242181,Galactose
27,Galactose_12.72,2.36,12.723684210526315,0.0,0.45227803308537834,0.0,0.3571187349242181,Galactose
28,Galactose_11.68,2.36,11.68421052631579,0.0,0.45227803308537834,0.0,0.3571187349242181,Galactose
29,Galactose_10.64,2.36,10.644736842105264,0.3094440105309364,0.4300996088281232,0.3094440105309364,0.6490506616616271,Galactose
30,Galactose_9.61,2.36,9.605263157894736,0.7439324252565156,0.3989590209714947,0.7439324252565156,1.0589504682156121,Galactose
31,Galactose_8.57,2.36,8.56578947368421,1.1784208399820941,0.3678184331148664,1.1784208399820941,1.468850274769596,Galactose
32,Galactose_7.53,2.36,7.526315789473685,1.6129092547076727,0.336677845258238,1.6129092547076727,1.878750081323583,Galactose
33,Galactose_6.49,2.36,6.4868421052631575,2.148625315527325,0.30553725740160964,1.8955562002921433,2.13680841873646,Galactose
34,Galactose_5.45,2.36,5.447368421052632,3.001570352382223,0.27439666954498076,1.7023596818237436,1.9190232920964672,Galactose
35,Galactose_4.41,2.36,4.407894736842104,3.8545153892371227,0.24325608168835205,1.5091631633553437,1.70123816545647,Galactose
36,Galactose_3.37,2.36,3.3684210526315788,4.707460426092019,0.2121154938317236,1.315966644886945,1.483453038816477,Galactose
37,Galactose_2.33,2.36,2.3289473684210513,5.5604054629469175,0.18097490597509494,1.1227701264185448,1.2656679121764824,Galactose
38,Galactose_1.29,2.36,1.2894736842105274,6.4133504998018145,0.14983431811846618,0.929573607950144,1.0478827855364865,Galactose
39,Galactose_0.25,2.36,0.25,7.8221846480402295,0.11333637846790418,0.0,0.08949040443825351,Galactose
40,Maltose_20.0,2.2,20.0,0.0,0.6511244097005017,0.0,0.5141278338994956,Maltose
41,Maltose_18.96,2.2,18.960526315789473,0.0,0.6511244097005017,0.0,0.5141278338994956,Maltose
42,Maltose_17.92,2.2,17.92105263157895,0.0,0.6511244097005017,0.0,0.5141278338994956,Maltose
43,Maltose_16.88,2.2,16.88157894736842,0.0,0.6511244097005017,0.0,0.5141278338994956,Maltose
44,Maltose_15.84,2.2,15.842105263157894,0.22924412607718944,0.6346940594154848,0.22924412607718944,0.730398555391642,Maltose
45,Maltose_14.8,2.2,14.802631578947368,0.6637325408027687,0.6035534715588566,0.6637325408027687,1.1402983619456286,Maltose
46,Maltose_13.76,2.2,13.763157894736842,1.0982209555283478,0.5724128837022279,1.0982209555283478,1.5501981684996107,Maltose
47,Maltose_12.72,2.2,12.723684210526315,1.5327093702539278,0.5412722958455992,1.5327093702539278,1.9600979750535987,Maltose
48,Maltose_11.68,2.2,11.68421052631579,1.9671977849795075,0.5101317079889709,1.9671977849795075,2.369997781607581,Maltose
49,Maltose_10.64,2.2,10.644736842105264,2.4016861997050865,0.4789911201323422,2.4016861997050865,2.7798975881615684,Maltose
50,Maltose_9.61,2.2,9.605263157894736,2.874644903555205,0.4478505322757137,2.7784691807438575,3.132091961028742,Maltose
51,Maltose_8.57,2.2,8.56578947368421,3.7275899404101045,0.4167099444190853,2.5852726622754534,2.9143068343887473,Maltose
52,Maltose_7.53,2.2,7.526315789473685,4.580534977265003,0.3855693565624567,2.3920761438070497,2.69652170774875,Maltose
53,Maltose_6.49,2.2,6.4868421052631575,5.433480014119905,0.3544287687058279,2.198879625338645,2.4787365811087523,Maltose
54,Maltose_5.45,2.2,5.447368421052632,6.286425050974806,0.3232881808491996,2.00568310687024,2.2609514544687537,Maltose
55,Maltose_4.41,2.2,4.407894736842104,7.139370087829708,0.292147592992571,1.8124865884018364,2.0431663278287546,Maltose
56,Maltose_3.37,2.2,3.3684210526315788,7.992315124684609,0.2610070051359422,1.6192900699334332,1.825381201188761,Maltose
57,Maltose_2.33,2.2,2.3289473684210513,8.84526016153951,0.22986641727931367,1.4260935514650306,1.6075960745487645,Maltose
58,Maltose_1.29,2.2,1.2894736842105274,10.089326217106516,0.19844664405544626,0.6512942175932002,0.8079876877393684,Maltose
59,Maltose_0.25,2.2,0.25,11.35707437965224,0.15828481929690635,0.0,0.12498169331685854,Maltose
60,Sucrose_20.0,1.2,20.0,0.0,0.45617698164646014,0.0,0.3601973447080461,Sucrose
61,Sucrose_18.96,1.2,18.960526315789473,0.0,0.45617698164646014,0.0,0.3601973447080461,Sucrose
62,Sucrose_17.92,1.2,17.92105263157895,0.0,0.45617698164646014,0.0,0.3601973447080461,Sucrose
63,Sucrose_16.88,1.2,16.88157894736842,0.0,0.45617698164646014,0.0,0.3601973447080461,Sucrose
64,Sucrose_15.84,1.2,15.842105263157894,0.0,0.45617698164646014,0.0,0.3601973447080461,Sucrose
65,Sucrose_14.8,1.2,14.802631578947368,0.0,0.45617698164646014,0.0,0.3601973447080461,Sucrose
66,Sucrose_13.76,1.2,13.763157894736842,0.0,0.45617698164646014,0.0,0.3601973447080461,Sucrose
67,Sucrose_12.72,1.2,12.723684210526315,0.0,0.45617698164646014,0.0,0.3601973447080461,Sucrose
68,Sucrose_11.68,1.2,11.68421052631579,0.0,0.45617698164646014,0.0,0.3601973447080461,Sucrose
69,Sucrose_10.64,1.2,10.644736842105264,0.35046836718140867,0.4310582659125206,0.35046836718140867,0.6908319739459388,Sucrose
70,Sucrose_9.61,1.2,9.605263157894736,0.7849567819069848,0.3999176780558926,0.7849567819069848,1.1007317804999215,Sucrose
71,Sucrose_8.57,1.2,8.56578947368421,1.2194451966325601,0.3687770901992642,1.2194451966325601,1.510631587053902,Sucrose
72,Sucrose_7.53,1.2,7.526315789473685,1.6539336113581482,0.33763650234263476,1.6539336113581482,1.9205313936078965,Sucrose
73,Sucrose_6.49,1.2,6.4868421052631575,2.213034231186084,0.30649591448600433,1.901503718430247,2.143512892508401,Sucrose
74,Sucrose_5.45,1.2,5.447368421052632,3.065979268041053,0.2753553266293742,1.7083071999618,1.9257277658683571,Sucrose
75,Sucrose_4.41,1.2,4.407894736842104,3.918924304896022,0.24421473877274363,1.5151106814933537,1.7079426392283157,Sucrose
76,Sucrose_3.37,1.2,3.3684210526315788,4.771869341750989,0.21307415091611326,1.3219141630249072,1.490157512588272,Sucrose
77,Sucrose_2.33,1.2,2.3289473684210513,5.624814378605957,0.18193356305948283,1.1287176445564615,1.272372385948232,Sucrose
78,Sucrose_1.29,1.2,1.2894736842105274,6.4777594154609215,0.15079297520285265,0.9355211260880167,1.0545872593081906,Sucrose
79,Sucrose_0.25,1.2,0.25,7.891466568778746,0.11422016470240232,0.0,0.09018824204901951,Sucrose
