Reactions,minamm,maxamm,minura,maxura,Jaccard
3HPr_exc,-0.012670283,-0.012036714,0.558126275,1,0
DOLPt2er,-0.092552637,-0.087924605,-0.085723916,-0.081437653,0
EX_3HPr_e0,-0.012670283,-0.012036714,0.558126275,1,0
EX_cpd00029_e0,0,1.928595573,0,0,0
EX_cpd00092_e0,0,0,-1000,-0.569274938,0
EX_cpd00119_e0,0,0.047159916,0,0,0
EX_cpd00281_e0,0,0.294179292,0,0,0
EX_cpd11966_e0,0,1.564549785,0,0,0
EX_cpd19013_e0,-10.07023802,-1.044221836,0,1,0
EtAc_t,0,1.564549785,0,0,0
GLYt2m,0,0.605256639,0,0,0
MANNANter,-0.092552637,-0.087924605,-0.085723916,-0.081437653,0
PMDPHT,0.000107743,0.000113414,9.98E-05,0.000105046,0
R_ABUTt2r_e0,-0.294179292,0,0,0,0
R_DOLPMTcer_c0,0.087924605,0.092552637,0.081437653,0.085723916,0
R_DRTPPD_c0,0.000107743,0.000113414,9.98E-05,0.000105046,0
R_IPCS126_SC_c0,0.000718285,0.037808415,0,0,0
R_IPCS324_SC_c0,0,0,0.000665291,0.015950082,0
R_NH4t_e0,0,10.07023802,-999.4307251,0,0
R_NH4ti_e0,-10.07023802,0,0,1,0
R_PMI12346PH_c0,0,0,0,0.432173454,0
R_URAt2_e0,0,0,0.569274938,1,0
SERt2m,-0.30262832,0,0,0,0
URC4,-0.012670283,-0.012036714,0.558126275,1,0
URC6,-0.012670283,-0.012036714,0.558126275,1,0
bio1,0.10883105,0.114559522,0.10080165,0.106107088,0
rxn00001_m0,0,0.318694233,0,0,0
rxn00097_m0,0,0.318694233,-0.864346907,0,0
rxn00170_m0,0,0.318694233,0,0,0
rxn00285_m0,-0.670581876,0,0,0,0
rxn00300_c0,0.000107743,0.000113414,9.98E-05,0.000105046,0
rxn00533_c0,0.043271225,0.045548866,0.040078736,0.042188178,0
rxn00559_c0,-0.092552637,-0.087924605,-0.085723916,-0.081437653,0
rxn00609_c0,0.000576805,0.000607165,0.000534249,0.000562368,0
rxn00641_c0,0.087924605,0.092552637,0.081437653,0.085723916,0
rxn00686_c0,0.000391792,0.000412414,0.000362886,0.000381986,0
rxn00711_c0,0.012036714,0.012670283,0.011148662,0.011735444,0
rxn00789_c0,0.007215499,0.054375415,0.006683149,0.0070349,0
rxn00790_c0,0.010773186,0.011340247,0.009978355,0.010503541,0
rxn00831_c0,0,0.239020675,0,0,0
rxn00832_c0,-0.0651486,-0.017988684,-0.017538441,-0.016661505,0
rxn00834_c0,0.005375166,0.005658095,0.004978593,0.005240629,0
rxn00859_c0,0.007215499,0.054375415,0.006683149,0.0070349,0
rxn00917_c0,0.005375166,0.005658095,0.004978593,0.005240629,0
rxn01127_c0,0.000391792,0.000412414,0.000362886,0.000381986,0
rxn01509_c0,-0.000274943,-0.000261195,-0.000254657,-0.000241924,0
rxn01517_c0,-0.000687357,-0.000652986,-0.000636643,0.215481917,0
rxn01520_c0,0.000391792,0.000412414,0.000362886,0.000381986,0
rxn01673_c0,0,0,0,0.000636596,0
rxn02160_c0,0.007215499,0.054375415,0.006683149,0.0070349,0
rxn02473_c0,0.007215499,0.054375415,0.006683149,0.0070349,0
rxn02834_c0,0.007215499,0.054375415,0.006683149,0.0070349,0
rxn02835_c0,0.007215499,0.054375415,0.006683149,0.0070349,0
rxn02895_c0,0.010773186,0.011340247,0.009978355,0.010503541,0
rxn02937_c0,0.010773186,0.011340247,0.009978355,0.010503541,0
rxn02938_c0,0.010773186,0.011340247,0.009978355,0.010503541,0
rxn03004_c0,0.010773186,0.011340247,0.009978355,0.010503541,0
rxn03084_c0,0.010773186,0.011340247,0.009978355,0.010503541,0
rxn03137_c0,0.017988684,0.0651486,0.016661505,0.017538441,0
rxn03175_c0,0.007215499,0.054375415,0.006683149,0.0070349,0
rxn05040_c0,0.000215485,0.000226828,0.000199587,0.000210092,0
rxn05235_c0,0,0,0,0.000636596,0
rxn08066_m0,0,0,0,0.864346907,0
rxn09457_c0,-0.00057738,-0.000548508,-0.00053478,-0.00050804,0
rxn09511_r0,0.087924605,0.092552637,0.081437653,0.085723916,0
rxn10505_c0,0.000107743,0.000113414,9.98E-05,0.000105046,0
rxn13215_c0,0,0.239020675,0,0,0
rxn13216_c0,0,0.239020675,0,0,0
rxn13379_c0,0,0.47804135,0,0,0
rxn13386_c0,0,0,0,0.432173454,0
rxn15115_c0,-0.47804135,0.240038245,0,0,0
rxn19830_c0,0.007215499,0.054375415,0.006683149,0.0070349,0
rxn19870_m0,-0.30262832,0,0,0,0
rxn27926_c0,0.007215499,0.054375415,0.006683149,0.0070349,0
rxn29985_c0,0,0.147715843,0,0,0
rxn30004_c0,0,0.147715843,0,0,0
rxn30056_c0,0.000215485,0.000226828,0.000199587,0.000210092,0
rxn30057_c0,0.000107743,0.000113414,9.98E-05,0.000105046,0
rxn30058_c0,0,0,0,0.047055919,0
rxn30074_c0,-0.000274943,-0.000261195,-0.000254657,-0.000241924,0
rxn30430_c0,0,0,0,0.000636596,0
rxn32754_c0,-0.092552637,-0.087924605,-0.085723916,-0.081437653,0
rxn35571_c0,0.010773186,0.011340247,0.009978355,0.010503541,0
rxn35572_c0,0.010773186,0.011340247,0.009978355,0.010503541,0
